// PatSize	  TextSize	  Naive-RT	    KMP-RT
    100000	    410000	      3893	      1765
        10	    420000	      3360	      2734
       100	    420000	      3290	      2766
      1000	    420000	      3322	      2711
     10000	    420000	      3350	      2443
    100000	    420000	      3946	      1814
        10	    430000	      3379	      2800
       100	    430000	      3329	      2761
      1000	    430000	      3290	      2719
     10000	    430000	      3527	      2494
    100000	    430000	      4042	      1832
        10	    440000	      3532	      2885
       100	    440000	      3619	      2860
      1000	    440000	      3468	      2874
     10000	    440000	      3535	      2584
    100000	    440000	      4375	      3220
        10	    450000	      3496	      2905
       100	    450000	      3521	      2858
      1000	    450000	      3536	      2898
     10000	    450000	      3608	      2610
    100000	    450000	      4178	      1911
        10	    460000	      3557	      2997
       100	    460000	      3555	      3303
      1000	    460000	      3625	      2919
     10000	    460000	      3705	      2690
    100000	    460000	      4300	      1948
        10	    470000	      3704	      3080
       100	    470000	      3587	      3048
      1000	    470000	      3636	      3078
     10000	    470000	      3799	      2777
    100000	    470000	      4367	      1946
        10	    480000	      3695	      3144
       100	    480000	      3701	      3127
      1000	    480000	      3732	      3109
     10000	    480000	      3833	      2835
    100000	    480000	      4542	      2026
        10	    490000	      3863	      3246
       100	    490000	      3746	      3386
      1000	    490000	      3798	      3137
     10000	    490000	      4056	      2936
    100000	    490000	      4803	      2038
        10	    500000	      3969	      3292
       100	    500000	      3901	      3322
      1000	    500000	      3854	      3282
     10000	    500000	      4205	      3145
    100000	    500000	      4740	      2182
        10	    510000	      3975	      3284
       100	    510000	      4053	      3353
      1000	    510000	      4036	      3317
     10000	    510000	      4099	      3029
    100000	    510000	      4846	      2179
        10	    520000	      4221	      3425
       100	    520000	      4180	      3449
      1000	    520000	      4129	      3755
     10000	    520000	      4321	      3121
    100000	    520000	      5012	      2214
        10	    530000	      4178	      3439
       100	    530000	      4221	      3481
      1000	    530000	      4134	      3477
     10000	    530000	      4252	      3175
    100000	    530000	      5124	      2248
        10	    540000	      4120	      3450
       100	    540000	      4256	      3537
      1000	    540000	      4221	      3545
     10000	    540000	      4360	      3184
    100000	    540000	      5067	      2216
        10	    550000	      4268	      3553
       100	    550000	      4229	      3560
      1000	    550000	      4324	      3502
     10000	    550000	      4397	      3171
    100000	    550000	      5106	      2238
        10	    560000	      4438	      3599
       100	    560000	      4294	      3614
      1000	    560000	      4417	      3594
     10000	    560000	      4381	      3278
    100000	    560000	      5193	      2322
        10	    570000	      4534	      3690
       100	    570000	      4440	      3681
      1000	    570000	      4438	      3655
     10000	    570000	      4506	      3316
    100000	    570000	      5405	      2346
        10	    580000	      4610	      3768
       100	    580000	      4790	      3844
      1000	    580000	      4540	      3756
     10000	    580000	      4599	      3414
    100000	    580000	      5603	      2423
        10	    590000	      4664	      3890
       100	    590000	      4536	      3786
      1000	    590000	      4628	      3843
     10000	    590000	      4672	      3503
    100000	    590000	      5488	      2598
        10	    600000	      4730	      3869
       100	    600000	      4579	      3966
      1000	    600000	      5289	      3971
     10000	    600000	      4773	      3464
    100000	    600000	      5549	      2362
        10	    610000	      4758	      4070
       100	    610000	      4722	      4013
      1000	    610000	      4836	      3909
     10000	    610000	      4873	      3611
    100000	    610000	      5684	      2473
        10	    620000	      4827	      4057
       100	    620000	      4723	      3987
      1000	    620000	      4911	      3968
     10000	    620000	      5121	      3580
    100000	    620000	      5757	      3863
        10	    630000	      5232	      4057
       100	    630000	      4910	      4095
      1000	    630000	      4887	      4007
     10000	    630000	      5004	      3729
    100000	    630000	      6194	      2474
        10	    640000	      4994	      4251
       100	    640000	      4918	      4137
      1000	    640000	      4998	      4143
     10000	    640000	      5053	      3707
    100000	    640000	      6047	      2540
        10	    650000	      5007	      4193
       100	    650000	      5004	      4205
      1000	    650000	      5062	      4182
     10000	    650000	      5089	      3786
    100000	    650000	      6019	      2565
        10	    660000	      5055	      4273
       100	    660000	      5165	      4219
      1000	    660000	      5127	      4248
     10000	    660000	      5234	      3798
    100000	    660000	      6117	      2646
        10	    670000	      5171	      4333
       100	    670000	      5133	      4358
      1000	    670000	      5263	      4294
     10000	    670000	      5311	      3873
    100000	    670000	      6158	      4070
        10	    680000	      5372	      4499
       100	    680000	      5276	      4433
      1000	    680000	      5285	      4444
     10000	    680000	      5339	      3970
    100000	    680000	      6245	      2643
        10	    690000	      5416	      4500
       100	    690000	      5376	      4384
      1000	    690000	      5466	      4383
     10000	    690000	      5442	      4121
    100000	    690000	      6384	      2660
        10	    700000	      5489	      4573
       100	    700000	      5421	      4485
      1000	    700000	      5465	      4489
     10000	    700000	      5565	      4083
    100000	    700000	      6513	      2752
        10	    710000	      5475	      4679
       100	    710000	      5487	      4662
      1000	    710000	      5487	      4546
     10000	    710000	      5902	      4292
    100000	    710000	      7405	      2740
        10	    720000	      5642	      4629
       100	    720000	      5559	      4688
      1000	    720000	      5645	      4538
     10000	    720000	      5670	      4192
    100000	    720000	      6608	      2803
        10	    730000	      5602	      4687
       100	    730000	      5637	      4680
      1000	    730000	      5695	      4755
     10000	    730000	      6081	      4226
    100000	    730000	      6801	      2833
        10	    740000	      5867	      4992
       100	    740000	      5969	      4804
      1000	    740000	      5770	      4752
     10000	    740000	      5822	      4384
    100000	    740000	      6937	      2822
        10	    750000	      5864	      4891
       100	    750000	      5694	      4800
      1000	    750000	      5897	      4801
     10000	    750000	      6012	      4305
    100000	    750000	      7015	      2862
        10	    760000	      5950	      4927
       100	    760000	      5896	      4910
      1000	    760000	      5940	      4845
     10000	    760000	      6015	      4411
    100000	    760000	      7081	      2939
        10	    770000	      5894	      4942
       100	    770000	      5961	      4945
      1000	    770000	      5995	      4977
     10000	    770000	      6070	      4457
    100000	    770000	      7167	      2966
