// PatSize	  TextSize	  Naive-RT	    KMP-RT
    100000	    410000	      3929	      3824
        10	    420000	      3333	      3609
       100	    420000	      3325	      3214
      1000	    420000	      3297	      3203
     10000	    420000	      3536	      2985
    100000	    420000	      4007	      2648
        10	    430000	      3401	      3253
       100	    430000	      3457	      3291
      1000	    430000	      3328	      3223
     10000	    430000	      3466	      3017
    100000	    430000	      4120	      2868
        10	    440000	      3542	      3365
       100	    440000	      3521	      3279
      1000	    440000	      3422	      3238
     10000	    440000	      3599	      3009
    100000	    440000	      4248	      2666
        10	    450000	      3579	      3360
       100	    450000	      3442	      3353
      1000	    450000	      3582	      3388
     10000	    450000	      3609	      3098
    100000	    450000	      4192	      3004
        10	    460000	      3902	      3456
       100	    460000	      3539	      3474
      1000	    460000	      3555	      3410
     10000	    460000	      3712	      3250
    100000	    460000	      4401	      2718
        10	    470000	      3629	      3509
       100	    470000	      3716	      3645
      1000	    470000	      3584	      3569
     10000	    470000	      4117	      3331
    100000	    470000	      5397	      2877
        10	    480000	      3756	      3638
       100	    480000	      3729	      3623
      1000	    480000	      3752	      3588
     10000	    480000	      3860	      3412
    100000	    480000	      4685	      4870
        10	    490000	      3900	      3738
       100	    490000	      3818	      3759
      1000	    490000	      3833	      3641
     10000	    490000	      4223	      3494
    100000	    490000	      4569	      3049
        10	    500000	      3948	      3806
       100	    500000	      3940	      3765
      1000	    500000	      3928	      3733
     10000	    500000	      4021	      3447
    100000	    500000	      4854	      4158
        10	    510000	      3994	      3772
       100	    510000	      3963	      3827
      1000	    510000	      3992	      3779
     10000	    510000	      4119	      3552
    100000	    510000	      4812	      4193
        10	    520000	      4144	      3964
       100	    520000	      4004	      3925
      1000	    520000	      4028	      3902
     10000	    520000	      4169	      3548
    100000	    520000	      4847	      3004
        10	    530000	      4160	      3999
       100	    530000	      4188	      3964
      1000	    530000	      4274	      3954
     10000	    530000	      4159	      3739
    100000	    530000	      5020	      3080
        10	    540000	      4202	      4295
       100	    540000	      4181	      4226
      1000	    540000	      4253	      4174
     10000	    540000	      4348	      3723
    100000	    540000	      5111	      3143
        10	    550000	      4345	      4266
       100	    550000	      4334	      4170
      1000	    550000	      4240	      4168
     10000	    550000	      4413	      3844
    100000	    550000	      5165	      4459
        10	    560000	      4426	      4303
       100	    560000	      4348	      4219
      1000	    560000	      4545	      4230
     10000	    560000	      4458	      3911
    100000	    560000	      5186	      3146
        10	    570000	      5034	      4285
       100	    570000	      4370	      4348
      1000	    570000	      4450	      4212
     10000	    570000	      4556	      4036
    100000	    570000	      5290	      3140
        10	    580000	      4491	      4784
       100	    580000	      4476	      4371
      1000	    580000	      4522	      4318
     10000	    580000	      4667	      4048
    100000	    580000	      5362	      3265
        10	    590000	      4633	      4479
       100	    590000	      4512	      4472
      1000	    590000	      4520	      4337
     10000	    590000	      4675	      4071
    100000	    590000	      5538	      3215
        10	    600000	      4645	      4477
       100	    600000	      4717	      4493
      1000	    600000	      4696	      4500
     10000	    600000	      4750	      4170
    100000	    600000	      5510	      3288
        10	    610000	      4678	      4665
       100	    610000	      4684	      4838
      1000	    610000	      4779	      4536
     10000	    610000	      5333	      4193
    100000	    610000	      5654	      3332
        10	    620000	      4830	      4704
       100	    620000	      4800	      4688
      1000	    620000	      4867	      4643
     10000	    620000	      5165	      4254
    100000	    620000	      5761	      3343
        10	    630000	      5507	      4770
       100	    630000	      4946	      4729
      1000	    630000	      4888	      4691
     10000	    630000	      5179	      4337
    100000	    630000	      5895	      4927
        10	    640000	      4923	      4863
       100	    640000	      4962	      4835
      1000	    640000	      5011	      4756
     10000	    640000	      5202	      4430
    100000	    640000	      6511	      4452
        10	    650000	      5044	      4893
       100	    650000	      4979	      4971
      1000	    650000	      5109	      4852
     10000	    650000	      5180	      4501
    100000	    650000	      6049	      3496
        10	    660000	      5139	      4969
       100	    660000	      5108	      4962
      1000	    660000	      5112	      4912
     10000	    660000	      5195	      4521
    100000	    660000	      6193	      3520
        10	    670000	      5279	      5025
       100	    670000	      5182	      5041
      1000	    670000	      5206	      5022
     10000	    670000	      6418	      4607
    100000	    670000	      6327	      5147
        10	    680000	      5294	      5163
       100	    680000	      5272	      5125
      1000	    680000	      5341	      5140
     10000	    680000	      5583	      4644
    100000	    680000	      6262	      4667
        10	    690000	      5451	      5147
       100	    690000	      5370	      5182
      1000	    690000	      5378	      5214
     10000	    690000	      5500	      4722
    100000	    690000	      6452	      4978
        10	    700000	      5519	      5405
       100	    700000	      5495	      5312
      1000	    700000	      5460	      5266
     10000	    700000	      5560	      4794
    100000	    700000	      6591	      3660
        10	    710000	      5505	      5441
       100	    710000	      5494	      5296
      1000	    710000	      5643	      5374
     10000	    710000	      5702	      5622
    100000	    710000	      6524	      3707
        10	    720000	      5708	      5418
       100	    720000	      5561	      5356
      1000	    720000	      5508	      5421
     10000	    720000	      5669	      4949
    100000	    720000	      6695	      3779
        10	    730000	      5707	      5481
       100	    730000	      5574	      5584
      1000	    730000	      5617	      5518
     10000	    730000	      5732	      4988
    100000	    730000	      6799	      5269
        10	    740000	      5889	      5769
       100	    740000	      5893	      5887
      1000	    740000	      5917	      5707
     10000	    740000	      6084	      5534
    100000	    740000	      7051	      5120
        10	    750000	      6435	      5848
       100	    750000	      6223	      5814
      1000	    750000	      6055	      5726
     10000	    750000	      6195	      5601
    100000	    750000	      7331	      4330
        10	    760000	      6252	      5756
       100	    760000	      6030	      5940
      1000	    760000	      6467	      5732
     10000	    760000	      6152	      5276
    100000	    760000	      7389	      4108
        10	    770000	      6209	      5912
       100	    770000	      5992	      6054
      1000	    770000	      6263	      5757
     10000	    770000	      6157	      5801
    100000	    770000	      7290	      4031
        10	    780000	      6267	      5934
       100	    780000	      6020	      5942
      1000	    780000	      6382	      5933
     10000	    780000	      6119	      5510
    100000	    780000	      7471	      4029
        10	    790000	      6161	      5996
       100	    790000	      6098	      6076
      1000	    790000	      6151	      6192
     10000	    790000	      6274	      5534
    100000	    790000	      7426	      5431
        10	    800000	      6280	      6115
       100	    800000	      6362	      6099
      1000	    800000	      6225	      6105
     10000	    800000	      6487	      5751
    100000	    800000	      7684	      4217
        10	    810000	      6372	      6130
       100	    810000	      6403	      6092
      1000	    810000	      6357	      6133
     10000	    810000	      6443	      5690
    100000	    810000	      7676	      4445
        10	    820000	      7654	      6293
       100	    820000	      6396	      6227
      1000	    820000	      6498	      6137
     10000	    820000	      6493	      5833
    100000	    820000	      7798	      4494
        10	    830000	      6362	      6375
       100	    830000	      6601	      6444
      1000	    830000	      6494	      6233
     10000	    830000	      6803	      5717
    100000	    830000	      7840	      4290
        10	    840000	      6664	      6247
       100	    840000	      6649	      6323
      1000	    840000	      6788	      6262
     10000	    840000	      6650	      5773
    100000	    840000	      7905	      4294
        10	    850000	      6548	      6534
       100	    850000	      6629	      6296
      1000	    850000	      6707	      6445
     10000	    850000	      6868	      5974
    100000	    850000	      8096	      5474
        10	    860000	      6727	      6502
       100	    860000	      6640	      6423
      1000	    860000	      6859	      6417
     10000	    860000	      6684	      5821
    100000	    860000	      8016	      4366
        10	    870000	      7345	      6495
       100	    870000	      6784	      6533
      1000	    870000	      6797	      6544
     10000	    870000	      6905	      5885
    100000	    870000	      8225	      5840
        10	    880000	      6795	      6761
       100	    880000	      6872	      6787
      1000	    880000	      6844	      6772
     10000	    880000	      7001	      6200
    100000	    880000	      8357	      4535
        10	    890000	      7104	      6801
       100	    890000	      7037	      6766
      1000	    890000	      7089	      6637
     10000	    890000	      7158	      6145
    100000	    890000	      8359	      4410
        10	    900000	      7179	      6700
       100	    900000	      6933	      6762
      1000	    900000	      7090	      6736
     10000	    900000	      7159	      6184
    100000	    900000	      8349	      4527
        10	    910000	      6991	      6830
       100	    910000	      7000	      6845
      1000	    910000	      7125	      6883
     10000	    910000	      7167	      8589
    100000	    910000	      8442	      4448
        10	    920000	      7373	      7444
       100	    920000	      7034	      7174
      1000	    920000	      7082	      7212
     10000	    920000	      7273	      6459
    100000	    920000	      9753	      5790
        10	    930000	      7323	      7567
       100	    930000	      7221	      7242
      1000	    930000	      7477	      7205
     10000	    930000	      7638	      6736
    100000	    930000	      8657	      5922
        10	    940000	      7463	      7245
       100	    940000	      7358	      7395
      1000	    940000	      7273	      7204
     10000	    940000	      7689	      6698
    100000	    940000	      8958	      7250
        10	    950000	      7556	      7442
       100	    950000	      7731	      7417
      1000	    950000	      9084	      7394
     10000	    950000	      7769	      6697
    100000	    950000	      9251	      6715
        10	    960000	      7647	      7336
       100	    960000	      7625	      7456
      1000	    960000	      7705	      7442
     10000	    960000	      7823	      6526
    100000	    960000	      9051	      4864
        10	    970000	      7680	      7397
       100	    970000	      7610	      7337
      1000	    970000	      7600	      7257
     10000	    970000	      7655	      6970
    100000	    970000	      9332	      4851
        10	    980000	      7661	      7577
       100	    980000	      7653	      7422
      1000	    980000	      7599	      7248
     10000	    980000	      7880	      6681
    100000	    980000	      9193	      4880
        10	    990000	      7849	      7639
       100	    990000	      7716	      7509
      1000	    990000	      7633	      7491
     10000	    990000	      7923	      6770
    100000	    990000	      9201	      4949
        10	   1000000	      7704	      7479
       100	   1000000	      8028	      7559
      1000	   1000000	      7693	      7585
     10000	   1000000	      8072	      6915
    100000	   1000000	      9300	      6151
