// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	    410000	      3219	      2521
    100000	    410000	      3997	      1940
        10	    420000	      4031	      3151
       100	    420000	      3605	      3294
      1000	    420000	      3332	      3086
     10000	    420000	      4030	      2588
    100000	    420000	      4226	      1932
        10	    430000	      4152	      3296
       100	    430000	      4056	      3142
      1000	    430000	      3531	      2819
     10000	    430000	      3702	      3086
    100000	    430000	      4391	      4022
        10	    440000	      4113	      2963
       100	    440000	      3707	      3058
      1000	    440000	      3871	      3209
     10000	    440000	      4028	      2938
    100000	    440000	      4733	      2051
        10	    450000	      3778	      3388
       100	    450000	      3626	      3043
      1000	    450000	      3838	      3002
     10000	    450000	      3675	      2783
    100000	    450000	      4467	      2192
        10	    460000	      4253	      3398
       100	    460000	      3818	      3101
      1000	    460000	      3723	      3219
     10000	    460000	      3699	      3133
    100000	    460000	      4541	      2062
        10	    470000	      4007	      3490
       100	    470000	      3921	      3140
      1000	    470000	      3935	      3497
     10000	    470000	      3982	      2870
    100000	    470000	      4720	      2063
        10	    480000	      4483	      3427
       100	    480000	      4022	      3248
      1000	    480000	      4072	      3534
     10000	    480000	      4375	      2942
    100000	    480000	      4814	      2568
        10	    490000	      4543	      3396
       100	    490000	      4307	      3560
      1000	    490000	      4129	      3392
     10000	    490000	      3928	      3287
    100000	    490000	      4787	      2149
        10	    500000	      4364	      3629
       100	    500000	      4136	      3478
      1000	    500000	      4716	      3365
     10000	    500000	      4252	      3403
    100000	    500000	      4950	      2241
        10	    510000	      4378	      3579
       100	    510000	      4167	      3704
      1000	    510000	      4005	      3420
     10000	    510000	      4402	      3257
    100000	    510000	      5025	      2267
        10	    520000	      4940	      3729
       100	    520000	      4350	      3802
      1000	    520000	      4404	      3521
     10000	    520000	      4516	      3429
    100000	    520000	      5101	      2220
        10	    530000	      4567	      3647
       100	    530000	      4285	      3701
      1000	    530000	      4354	      3624
     10000	    530000	      4446	      3443
    100000	    530000	      5187	      2390
        10	    540000	      4473	      3768
       100	    540000	      4445	      3855
      1000	    540000	      4289	      3761
     10000	    540000	      4574	      3290
    100000	    540000	      5381	      2226
        10	    550000	      5212	      3776
       100	    550000	      4594	      3757
      1000	    550000	      4412	      3658
     10000	    550000	      4575	      3573
    100000	    550000	      5506	      2331
        10	    560000	      4890	      4026
       100	    560000	      4739	      3979
      1000	    560000	      4630	      3955
     10000	    560000	      4716	      3566
    100000	    560000	      5345	      2413
        10	    570000	      4730	      4134
       100	    570000	      5248	      4061
      1000	    570000	      4774	      4082
     10000	    570000	      4814	      3811
    100000	    570000	      5532	      4058
        10	    580000	      5441	      3998
       100	    580000	      4889	      3902
      1000	    580000	      4963	      4031
     10000	    580000	      4917	      3460
    100000	    580000	      5503	      2459
        10	    590000	      5457	      4021
       100	    590000	      4829	      4305
      1000	    590000	      4782	      4029
     10000	    590000	      4782	      3890
    100000	    590000	      5901	      2423
        10	    600000	      5342	      4309
       100	    600000	      4887	      4159
      1000	    600000	      4761	      4223
     10000	    600000	      5192	      3838
    100000	    600000	      6046	      2681
        10	    610000	      5117	      4153
       100	    610000	      5058	      4294
      1000	    610000	      5451	      4274
     10000	    610000	      5262	      3850
    100000	    610000	      5704	      2579
        10	    620000	      5352	      5019
       100	    620000	      5066	      4369
      1000	    620000	      4899	      4496
     10000	    620000	      5261	      3907
    100000	    620000	      6673	      2868
        10	    630000	      5094	      4495
       100	    630000	      5496	      4434
      1000	    630000	      5133	      4246
     10000	    630000	      5190	      3979
    100000	    630000	      5894	      2665
        10	    640000	      5279	      4572
       100	    640000	      5813	      4621
      1000	    640000	      5276	      4600
     10000	    640000	      5305	      4033
    100000	    640000	      6812	      2645
        10	    650000	      5329	      4579
       100	    650000	      5259	      4620
      1000	    650000	      5419	      4576
     10000	    650000	      5676	      4259
    100000	    650000	      6719	      2839
        10	    660000	      5819	      4588
